"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","1993",27186.911,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","1994",13877.253,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","1995",14120.92,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","1996",32659.468,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","1997",37301.979,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","1998",34569.491,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","1999",39494.937,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2000",34893.951,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2001",31602.698,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2002",36277.481,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2003",40803.145,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2004",47525.178,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2005",49735.036,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2006",51291.859,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2007",66969.722,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2008",65665.003,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2009",57731.563,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2010",70793.079,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2011",84540.661,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2012",85880.357,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2013",87591.017,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2014",97010.914,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2015",78796.207,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2016",74145.082,
"AUS","GINSURANCEPREM","TOT","MLN_USD","A","2017",72339.081,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","1993",10913.162,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","1994",11932.053,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","1995",13639.801,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","1996",15622.694,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","1997",12908.279,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","1998",12938.241,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","1999",13220.707,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","2000",12218.597,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","2001",12107.274,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","2002",13573.928,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","2003",16872.668,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","2004",19272.914,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","2005",19871.611,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","2006",21253.59,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","2007",23739.982,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","2008",26331.678,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","2013",25076.691,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","2014",25068.753,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","2015",21082.339,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","2016",20633.111,
"AUT","GINSURANCEPREM","TOT","MLN_USD","A","2017",20434.506,
"BEL","GINSURANCEPREM","TOT","MLN_USD","A","1993",11410.069,
"BEL","GINSURANCEPREM","TOT","MLN_USD","A","1994",12150.753,
"BEL","GINSURANCEPREM","TOT","MLN_USD","A","1995",14775.264,
"BEL","GINSURANCEPREM","TOT","MLN_USD","A","1996",15408.533,
"BEL","GINSURANCEPREM","TOT","MLN_USD","A","1997",14817.287,
"BEL","GINSURANCEPREM","TOT","MLN_USD","A","1998",16970.641,
"BEL","GINSURANCEPREM","TOT","MLN_USD","A","1999",18317.862,
"BEL","GINSURANCEPREM","TOT","MLN_USD","A","2000",18527.061,
"BEL","GINSURANCEPREM","TOT","MLN_USD","A","2001",18514.412,
"BEL","GINSURANCEPREM","TOT","MLN_USD","A","2002",19506.056,
"BEL","GINSURANCEPREM","TOT","MLN_USD","A","2003",29168.491,
"BEL","GINSURANCEPREM","TOT","MLN_USD","A","2004",35299.261,
"BEL","GINSURANCEPREM","TOT","MLN_USD","A","2005",41607.061,
"BEL","GINSURANCEPREM","TOT","MLN_USD","A","2006",37115.926,
"BEL","GINSURANCEPREM","TOT","MLN_USD","A","2007",42999.299,
"BEL","GINSURANCEPREM","TOT","MLN_USD","A","2008",42808.368,
"BEL","GINSURANCEPREM","TOT","MLN_USD","A","2009",39575.276,
"BEL","GINSURANCEPREM","TOT","MLN_USD","A","2010",39170.443,
"BEL","GINSURANCEPREM","TOT","MLN_USD","A","2011",40818.202,
"BEL","GINSURANCEPREM","TOT","MLN_USD","A","2012",41938.04,
"BEL","GINSURANCEPREM","TOT","MLN_USD","A","2013",37510.283,
"BEL","GINSURANCEPREM","TOT","MLN_USD","A","2014",38293.578,
"BEL","GINSURANCEPREM","TOT","MLN_USD","A","2015",30734.013,
"BEL","GINSURANCEPREM","TOT","MLN_USD","A","2016",30411.168,
"BEL","GINSURANCEPREM","TOT","MLN_USD","A","2017",30762.885,
"CAN","GINSURANCEPREM","TOT","MLN_USD","A","1993",28033.037,
"CAN","GINSURANCEPREM","TOT","MLN_USD","A","1994",28758.328,
"CAN","GINSURANCEPREM","TOT","MLN_USD","A","1995",30083.433,
"CAN","GINSURANCEPREM","TOT","MLN_USD","A","1996",30232.082,
"CAN","GINSURANCEPREM","TOT","MLN_USD","A","1997",29913.907,
"CAN","GINSURANCEPREM","TOT","MLN_USD","A","1998",28100.522,
"CAN","GINSURANCEPREM","TOT","MLN_USD","A","1999",47155.465,
"CAN","GINSURANCEPREM","TOT","MLN_USD","A","2000",54693.066,
"CAN","GINSURANCEPREM","TOT","MLN_USD","A","2001",55778.787,
"CAN","GINSURANCEPREM","TOT","MLN_USD","A","2002",60899.69,
"CAN","GINSURANCEPREM","TOT","MLN_USD","A","2003",74388.406,
"CAN","GINSURANCEPREM","TOT","MLN_USD","A","2004",87130.154,
"CAN","GINSURANCEPREM","TOT","MLN_USD","A","2005",98642.199,
"CAN","GINSURANCEPREM","TOT","MLN_USD","A","2006",109531.044,
"CAN","GINSURANCEPREM","TOT","MLN_USD","A","2007",136087.993,
"CAN","GINSURANCEPREM","TOT","MLN_USD","A","2008",113708.952,
"CAN","GINSURANCEPREM","TOT","MLN_USD","A","2009",75423.868,
"CAN","GINSURANCEPREM","TOT","MLN_USD","A","2010",85752.059,
"CAN","GINSURANCEPREM","TOT","MLN_USD","A","2011",93998.268,
"CAN","GINSURANCEPREM","TOT","MLN_USD","A","2012",97036.962,
"CAN","GINSURANCEPREM","TOT","MLN_USD","A","2013",98545.026,
"CAN","GINSURANCEPREM","TOT","MLN_USD","A","2014",93075.047,
"CAN","GINSURANCEPREM","TOT","MLN_USD","A","2015",83591.478,
"CZE","GINSURANCEPREM","TOT","MLN_USD","A","1993",787.504,
"CZE","GINSURANCEPREM","TOT","MLN_USD","A","1994",1030.733,
"CZE","GINSURANCEPREM","TOT","MLN_USD","A","1995",1273.394,
"CZE","GINSURANCEPREM","TOT","MLN_USD","A","1996",1514.759,
