"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHWEALTH","FINAN","USD","A","1995",21402.84,
"AUS","HHWEALTH","FINAN","USD","A","1996",22835.97,
"AUS","HHWEALTH","FINAN","USD","A","1997",24521.21,
"AUS","HHWEALTH","FINAN","USD","A","1998",27042.93,
"AUS","HHWEALTH","FINAN","USD","A","1999",29977.85,
"AUS","HHWEALTH","FINAN","USD","A","2000",29898.03,
"AUS","HHWEALTH","FINAN","USD","A","2001",31096.2,
"AUS","HHWEALTH","FINAN","USD","A","2002",29448.47,
"AUS","HHWEALTH","FINAN","USD","A","2003",31914.75,
"AUS","HHWEALTH","FINAN","USD","A","2004",36875.85,
"AUS","HHWEALTH","FINAN","USD","A","2005",41525.95,
"AUS","HHWEALTH","FINAN","USD","A","2006",46635.06,
"AUS","HHWEALTH","FINAN","USD","A","2007",49634.05,
"AUS","HHWEALTH","FINAN","USD","A","2008",36760.82,
"AUS","HHWEALTH","FINAN","USD","A","2009",44895.7,
"AUS","HHWEALTH","FINAN","USD","A","2010",43663.41,
"AUS","HHWEALTH","FINAN","USD","A","2011",40426.67,
"AUS","HHWEALTH","FINAN","USD","A","2012",49073.34,
"AUS","HHWEALTH","FINAN","USD","A","2013",56424.94,
"AUS","HHWEALTH","FINAN","USD","A","2014",61236.7,
"AUS","HHWEALTH","FINAN","USD","A","2015",64597.27,
"AUS","HHWEALTH","FINAN","USD","A","2016",70895.22,
"AUS","HHWEALTH","FINAN","USD","A","2017",74876.26,
"AUT","HHWEALTH","FINAN","USD","A","1995",23855.74,
"AUT","HHWEALTH","FINAN","USD","A","1996",25451.13,
"AUT","HHWEALTH","FINAN","USD","A","1997",26571.54,
"AUT","HHWEALTH","FINAN","USD","A","1998",28294.46,
"AUT","HHWEALTH","FINAN","USD","A","1999",29611.01,
"AUT","HHWEALTH","FINAN","USD","A","2000",31916.82,
"AUT","HHWEALTH","FINAN","USD","A","2001",31921.96,
"AUT","HHWEALTH","FINAN","USD","A","2002",33065.16,
"AUT","HHWEALTH","FINAN","USD","A","2003",35617.39,
"AUT","HHWEALTH","FINAN","USD","A","2004",38042.4,
"AUT","HHWEALTH","FINAN","USD","A","2005",40572.84,
"AUT","HHWEALTH","FINAN","USD","A","2006",44632.79,
"AUT","HHWEALTH","FINAN","USD","A","2007",46631.8,
"AUT","HHWEALTH","FINAN","USD","A","2008",44802.32,
"AUT","HHWEALTH","FINAN","USD","A","2009",50255.97,
"AUT","HHWEALTH","FINAN","USD","A","2010",52506.21,
"AUT","HHWEALTH","FINAN","USD","A","2011",53068.29,
"AUT","HHWEALTH","FINAN","USD","A","2012",56621.76,
"AUT","HHWEALTH","FINAN","USD","A","2013",60925.36,
"AUT","HHWEALTH","FINAN","USD","A","2014",63355.71,
"AUT","HHWEALTH","FINAN","USD","A","2015",64198.61,
"AUT","HHWEALTH","FINAN","USD","A","2016",66161.85,
"AUT","HHWEALTH","FINAN","USD","A","2017",67953.47,
"BEL","HHWEALTH","FINAN","USD","A","1995",48603.21,
"BEL","HHWEALTH","FINAN","USD","A","1996",52634.37,
"BEL","HHWEALTH","FINAN","USD","A","1997",56853.95,
"BEL","HHWEALTH","FINAN","USD","A","1998",58893.34,
"BEL","HHWEALTH","FINAN","USD","A","1999",65385.59,
"BEL","HHWEALTH","FINAN","USD","A","2000",67350.88,
"BEL","HHWEALTH","FINAN","USD","A","2001",68954.22,
"BEL","HHWEALTH","FINAN","USD","A","2002",65213.36,
"BEL","HHWEALTH","FINAN","USD","A","2003",68073.86,
"BEL","HHWEALTH","FINAN","USD","A","2004",72570.96,
"BEL","HHWEALTH","FINAN","USD","A","2005",78157.98,
"BEL","HHWEALTH","FINAN","USD","A","2006",81418.62,
"BEL","HHWEALTH","FINAN","USD","A","2007",82072.09,
"BEL","HHWEALTH","FINAN","USD","A","2008",74981.96,
"BEL","HHWEALTH","FINAN","USD","A","2009",82744.62,
"BEL","HHWEALTH","FINAN","USD","A","2010",89361.98,
"BEL","HHWEALTH","FINAN","USD","A","2011",90778.37,
