"LOCATION","Country","SUBJECT","Subject","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","YPTTTTL1_ST","Population mid-year estimates Total","A","Annual","1993","1993","PER","Persons","3","Thousands",,,17635,,
"AUS","Australia","YPTTTTL1_ST","Population mid-year estimates Total","A","Annual","1994","1994","PER","Persons","3","Thousands",,,17805,,
"AUS","Australia","YPTTTTL1_ST","Population mid-year estimates Total","A","Annual","1995","1995","PER","Persons","3","Thousands",,,18005,,
"AUS","Australia","YPTTTTL1_ST","Population mid-year estimates Total","A","Annual","1996","1996","PER","Persons","3","Thousands",,,18225,,
"AUS","Australia","YPTTTTL1_ST","Population mid-year estimates Total","A","Annual","1997","1997","PER","Persons","3","Thousands",,,18423,,
"AUS","Australia","YPTTTTL1_ST","Population mid-year estimates Total","A","Annual","1998","1998","PER","Persons","3","Thousands",,,18608,,
"AUS","Australia","YPTTTTL1_ST","Population mid-year estimates Total","A","Annual","1999","1999","PER","Persons","3","Thousands",,,18812,,
"AUS","Australia","YPTTTTL1_ST","Population mid-year estimates Total","A","Annual","2000","2000","PER","Persons","3","Thousands",,,19029,,
"AUS","Australia","YPTTTTL1_ST","Population mid-year estimates Total","A","Annual","2001","2001","PER","Persons","3","Thousands",,,19275,,
"AUS","Australia","YPTTTTL1_ST","Population mid-year estimates Total","A","Annual","2002","2002","PER","Persons","3","Thousands",,,19495,,
"AUS","Australia","YPTTTTL1_ST","Population mid-year estimates Total","A","Annual","2003","2003","PER","Persons","3","Thousands",,,19721,,
"AUS","Australia","YPTTTTL1_ST","Population mid-year estimates Total","A","Annual","2004","2004","PER","Persons","3","Thousands",,,19933,,
"AUS","Australia","YPTTTTL1_ST","Population mid-year estimates Total","A","Annual","2005","2005","PER","Persons","3","Thousands",,,20177,,
"AUS","Australia","YPTTTTL1_ST","Population mid-year estimates Total","A","Annual","2006","2006","PER","Persons","3","Thousands",,,20451,,
"AUS","Australia","YPTTTTL1_ST","Population mid-year estimates Total","A","Annual","2007","2007","PER","Persons","3","Thousands",,,20828,,
"AUS","Australia","YPTTTTL1_ST","Population mid-year estimates Total","A","Annual","2008","2008","PER","Persons","3","Thousands",,,21249,,
"AUS","Australia","YPTTTTL1_ST","Population mid-year estimates Total","A","Annual","2009","2009","PER","Persons","3","Thousands",,,21692,,
"AUS","Australia","YPTTTTL1_ST","Population mid-year estimates Total","A","Annual","2010","2010","PER","Persons","3","Thousands",,,22032,,
"AUS","Australia","YPTTTTL1_ST","Population mid-year estimates Total","A","Annual","2011","2011","PER","Persons","3","Thousands",,,22340,,
"AUS","Australia","YPTTTTL1_ST","Population mid-year estimates Total","A","Annual","2012","2012","PER","Persons","3","Thousands",,,22728,,
"AUS","Australia","YPTTTTL1_ST","Population mid-year estimates Total","A","Annual","2013","2013","PER","Persons","3","Thousands",,,23126,,
"AUS","Australia","YPTTTTL1_ST","Population mid-year estimates Total","A","Annual","2014","2014","PER","Persons","3","Thousands",,,23491,,
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","1993","1993","PER","Persons","3","Thousands",,,8853,,
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","1994","1994","PER","Persons","3","Thousands",,,8942,,
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","1995","1995","PER","Persons","3","Thousands",,,9044,,
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","1996","1996","PER","Persons","3","Thousands",,,9159,,
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","1997","1997","PER","Persons","3","Thousands",,,9267,,
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","1998","1998","PER","Persons","3","Thousands",,,9364,,
